"X"	"Y"	"Lattice100m [Points]"	"AvgPrecipitation"	"AvgTempDiff"	"Dist2Faults"	"Dist2GeoBoundaries"	"Elevation"
307035.573761	3369513.648663	0.000000	84.604004	11.093500	3087.500488	435.457214	2000.750000
307135.573761	3369513.648663	0.000000	83.423668	11.136666	3032.025391	338.653229	1994.916626
307235.573761	3369513.648663	0.000000	82.833496	11.158250	2984.968018	256.976135	1965.166626
307335.573761	3369513.648663	0.000000	82.833496	11.158250	2930.069336	172.989838	1928.937500
307435.573761	3369513.648663	0.000000	82.833496	11.158250	2875.170898	105.773018	1898.750000
307535.573761	3369513.648663	0.000000	82.833496	11.158250	2828.114746	46.139225	1889.083374
307635.573761	3369513.648663	0.000000	82.833496	11.158250	2773.216309	37.500000	1935.687500
307735.573761	3369513.648663	0.000000	82.833496	11.158250	2718.259766	37.500000	1942.416626
307835.573761	3369513.648663	0.000000	82.833496	11.158250	2669.391846	37.500000	1943.666626
307935.573761	3369513.648663	0.000000	82.833496	11.158250	2610.635742	43.979420	1980.625000
308035.573761	3369513.648663	0.000000	82.833496	11.158250	2551.851318	113.910065	1994.000000
308135.573761	3369513.648663	0.000000	80.312500	11.227000	2501.464600	153.776840	1978.916626
308235.573761	3369513.648663	0.000000	80.312500	11.227000	2441.216309	85.129639	1946.968750
308335.573761	3369513.648663	0.000000	80.312500	11.227000	2387.661377	40.101120	1924.062500
308435.573761	3369513.648663	0.000000	80.312500	11.227000	2324.976318	27.500000	1960.416626
308535.573761	3369513.648663	0.000000	80.312500	11.227000	2262.291016	75.188988	2027.000000
308635.573761	3369513.648663	0.000000	80.921684	11.355250	2208.561035	156.530273	2089.125000
308735.573761	3369513.648663	0.000000	81.124748	11.398000	2145.875977	258.828033	2142.083252
308835.573761	3369513.648663	0.000000	81.124748	11.398000	2083.190674	362.733704	2146.000000
308935.573761	3369513.648663	0.000000	81.124748	11.398000	2029.460693	452.187256	2121.750000
309035.573761	3369513.648663	0.000000	81.124748	11.398000	1964.244141	556.770569	2043.916626
309135.573761	3369513.648663	0.000000	81.124748	11.398000	1891.904663	661.491394	1980.062500
309235.573761	3369513.648663	0.000000	81.124748	11.398000	1828.211060	682.848267	1924.250000
309335.573761	3369513.648663	0.000000	81.124748	11.398000	1753.722900	585.000000	1864.500000
309435.573761	3369513.648663	0.000000	81.124748	11.398000	1679.234741	480.000000	1788.812500
309535.573761	3369513.648663	0.000000	81.921684	11.438687	1615.387695	390.000000	1740.375000
309635.573761	3369513.648663	1.000000	84.312500	11.560750	1540.899536	285.000000	1718.500000
309735.573761	3369513.648663	0.000000	84.312500	11.560750	1466.411377	180.000000	1786.000000
309835.573761	3369513.648663	0.000000	84.312500	11.560750	1402.564331	90.000000	1855.812500
309935.573761	3369513.648663	0.000000	84.312500	11.560750	1328.076172	25.000000	1905.916626
310035.573761	3369513.648663	0.000000	84.312500	11.560750	1253.531860	115.794121	1862.750000
310135.573761	3369513.648663	0.000000	84.312500	11.560750	1189.452026	188.728668	1845.937500
310235.573761	3369513.648663	1.000000	84.312500	11.560750	1114.602051	244.661682	1854.375000
310335.573761	3369513.648663	0.000000	84.312500	11.560750	1039.750244	285.004425	1920.187500
310435.573761	3369513.648663	0.000000	84.312500	11.560750	975.591675	330.598328	1943.937500
310535.573761	3369513.648663	0.000000	84.201332	11.578750	900.739929	369.908356	1928.916626
310635.573761	3369513.648663	1.000000	83.979004	11.614750	825.888245	422.567139	1915.687500
310735.573761	3369513.648663	0.000000	83.979004	11.614750	761.355896	458.178345	1923.687500
310835.573761	3369513.648663	0.000000	83.979004	11.614750	683.212769	507.859924	1925.583374
310935.573761	3369513.648663	0.000000	83.979004	11.614750	602.974121	552.563782	1908.625000
311035.573761	3369513.648663	0.000000	84.703003	11.634063	534.163940	592.642944	1881.625000
311135.573761	3369513.648663	0.000000	86.875000	11.691999	453.885437	651.865295	1850.625000
311235.573761	3369513.648663	0.000000	86.875000	11.691999	373.606903	662.761353	1809.625000
311335.573761	3369513.648663	0.000000	86.875000	11.691999	304.796722	592.642944	1782.375000
311435.573761	3369513.648663	0.000000	86.875000	11.691999	224.518204	501.870850	1727.750000
